elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,source
321.973,229.651,75.23,304.881,zip
387.289,278.19,90.118,368.308,zip
458.338,348.666,99.052,447.718,zip
435.836,330.865,91.685,422.55,zip
606.345,403.456,166.129,569.585,zip
602.078,458.36,130.395,588.755,zip
618.243,439.171,136.026,575.197,zip
637.102,433.934,173.573,607.507,zip
482.857,347.587,102.696,450.283,zip
474.0,358.98,95.728,454.708,zip
372.514,245.412,112.648,358.06,zip
555.572,430.514,108.634,539.148,zip
460.865,336.479,110.84,447.319,zip
378.691,265.415,95.074,360.489,zip
508.496,377.226,112.365,489.591,zip
433.951,295.424,119.766,415.19,zip
464.826,347.605,107.877,455.482,zip
522.465,375.936,133.396,509.332,zip
491.418,368.628,112.191,480.819,zip
492.37,364.201,104.057,468.258,zip
587.593,426.991,135.679,562.67,zip
531.859,367.35,129.178,496.528,zip
358.421,281.629,64.372,346.001,zip
528.991,376.359,132.126,508.485,zip
524.993,371.006,137.111,508.117,zip
564.439,429.39,119.275,548.665,zip
455.005,339.132,104.969,444.101,zip
370.347,264.047,92.016,356.063,zip
443.379,290.849,113.108,403.957,zip
597.659,439.889,139.964,579.853,zip
590.769,414.832,147.584,562.416,zip
602.15,425.14,157.459,582.599,zip
439.883,316.032,105.344,421.376,zip
646.288,510.292,111.626,621.918,zip
499.09,333.619,136.663,470.282,zip
453.48,322.771,111.575,434.346,zip
592.685,411.772,141.294,553.066,zip
283.573,187.867,79.943,267.81,zip
493.485,377.324,100.352,477.676,zip
522.302,391.497,118.635,510.132,zip
447.779,312.438,110.737,423.175,zip
673.115,476.54,185.769,662.309,zip
567.811,403.124,139.696,542.82,zip
542.472,438.396,87.679,526.075,zip
536.996,363.312,139.735,503.047,zip
531.456,389.623,116.485,506.108,zip
596.002,413.631,141.816,555.447,zip
504.285,348.52,134.655,483.175,zip
638.216,451.743,167.904,619.647,zip
422.4,318.748,91.64,410.388,zip
321.82,233.774,75.283,309.057,zip
505.776,368.889,120.29,489.179,zip
397.449,298.289,82.422,380.711,zip
464.363,339.007,102.49,441.497,zip
629.266,482.695,127.654,610.349,zip
421.507,305.61,104.551,410.161,zip
552.175,402.581,139.508,542.089,zip
543.708,395.798,127.934,523.732,zip
514.26,373.946,128.669,502.615,zip
596.508,390.062,180.956,571.018,zip
515.365,399.559,102.856,502.415,zip
541.16,379.493,147.802,527.295,zip
503.511,329.29,152.598,481.888,zip
389.742,259.018,119.547,378.565,zip
617.939,476.56,128.15,604.71,zip
465.166,358.778,95.674,454.452,zip
461.462,326.322,103.467,429.789,zip
608.91,434.673,151.537,586.21,zip
344.083,265.953,63.511,329.464,zip
617.696,472.733,133.334,606.067,zip
436.44,326.565,99.562,426.127,zip
529.439,403.07,107.751,510.821,zip
427.024,328.253,80.061,408.314,zip
506.248,378.498,116.77,495.268,zip
458.998,324.77,116.275,441.045,zip
615.516,454.269,139.468,593.737,zip
562.342,392.162,158.449,550.611,zip
488.518,346.999,117.011,464.01,zip
513.504,359.342,135.751,495.093,zip
588.331,421.952,152.706,574.658,zip
523.559,363.019,137.14,500.159,zip
402.831,285.904,83.388,369.292,zip
429.397,315.089,103.7,418.789,zip
586.335,416.082,138.694,554.776,zip
424.214,287.512,122.094,409.606,zip
541.675,433.282,83.476,516.758,zip
618.961,489.106,114.387,603.493,zip
452.2,347.004,87.748,434.752,zip
670.441,491.927,157.255,649.182,zip
596.512,441.808,140.575,582.383,zip
437.504,329.762,96.515,426.277,zip
534.222,364.808,148.328,513.136,zip
501.916,377.623,104.449,482.072,zip
691.055,533.021,132.253,665.274,zip
574.4,414.935,131.662,546.597,zip
461.931,369.325,73.053,442.378,zip
423.323,331.704,79.928,411.632,zip
476.968,329.577,127.066,456.643,zip
441.857,299.071,123.616,422.687,zip
377.364,287.492,74.826,362.318,zip
542.453,392.617,138.804,531.421,zip
489.854,359.754,114.647,474.401,zip
502.643,385.286,104.348,489.634,zip
489.034,352.126,109.28,461.406,zip
490.329,354.347,120.8,475.147,zip
685.829,503.044,156.949,659.993,zip
658.341,488.07,149.244,637.314,zip
389.232,273.753,104.67,378.423,zip
459.114,327.802,115.929,443.731,zip
620.577,455.557,143.86,599.417,zip
575.091,421.258,139.094,560.352,zip
458.872,345.343,104.406,449.749,zip
501.276,345.319,120.46,465.779,zip
434.286,297.393,103.096,400.489,zip
501.489,379.078,99.757,478.835,zip
586.105,433.473,143.165,576.638,zip
532.632,370.742,151.486,522.228,zip
558.135,373.97,163.114,537.084,zip
530.943,388.986,124.315,513.301,zip
495.67,365.699,108.504,474.203,zip
530.043,384.321,128.107,512.428,zip
570.069,434.329,120.647,554.976,zip
508.225,359.956,137.511,497.467,zip
490.732,388.496,92.117,480.613,zip
400.157,274.187,99.343,373.53,zip
437.25,319.809,101.205,421.014,zip
613.495,475.537,119.883,595.42,zip
549.607,437.044,96.229,533.273,zip
431.557,326.412,87.574,413.986,zip
500.452,332.147,150.257,482.404,zip
447.168,347.871,87.967,435.838,zip
354.286,225.217,110.633,335.85,zip
386.826,289.179,85.532,374.711,zip
460.365,336.003,100.001,436.004,zip
485.82,347.528,127.826,475.354,zip
617.811,439.773,155.919,595.692,zip
494.072,380.279,93.047,473.326,zip
588.163,405.556,156.601,562.157,zip
447.231,293.195,136.556,429.751,zip
481.056,338.108,123.31,461.418,zip
433.944,312.761,108.263,421.024,zip
321.821,236.298,76.096,312.394,zip
533.0,423.773,99.946,523.719,zip
557.844,420.938,120.268,541.206,zip
704.549,553.623,136.4,690.023,zip
553.106,375.855,151.941,527.796,zip
467.764,355.976,91.993,447.969,zip
575.995,429.891,136.6,566.491,zip
593.904,452.241,122.978,575.219,zip
468.47,352.16,105.243,457.403,zip
509.278,361.067,130.936,492.003,zip
479.66,378.078,83.575,461.653,zip
454.772,362.971,80.66,443.631,zip
459.11,346.333,100.678,447.011,zip
489.869,399.593,79.918,479.511,zip
445.803,327.649,99.893,427.542,zip
521.614,373.76,124.586,498.346,zip
426.408,325.916,84.496,410.412,zip
535.347,397.862,123.337,521.199,zip
553.386,415.359,115.821,531.18,zip
444.309,340.282,92.076,432.358,zip
529.476,392.333,125.384,517.717,zip
604.08,430.305,150.014,580.319,zip
410.014,308.231,88.066,396.297,zip
476.39,366.706,94.633,461.339,zip
532.325,350.077,163.104,513.181,zip
545.533,443.277,87.072,530.349,zip
476.425,349.551,112.499,462.05,zip
390.997,267.417,99.782,367.199,zip
553.765,406.31,132.754,539.064,zip
490.633,335.344,131.742,467.086,zip
525.249,364.69,140.265,504.955,zip
710.975,500.598,178.785,679.383,zip
484.242,392.639,79.321,471.96,zip
434.116,346.802,75.738,422.54,zip
671.225,465.232,181.361,646.593,zip
537.699,378.908,127.632,506.54,zip
508.072,374.985,111.697,486.682,zip
447.29,358.022,76.431,434.453,zip
268.106,206.395,47.629,254.024,zip
528.262,402.579,111.606,514.185,zip
416.893,321.599,84.419,406.018,zip
376.751,210.466,146.929,357.395,zip
447.154,323.869,99.959,423.828,zip
446.403,302.894,107.607,410.501,zip
672.076,515.816,138.873,654.689,zip
518.971,381.224,128.412,509.636,zip
389.998,304.144,76.036,380.18,zip
547.297,398.189,134.043,532.232,zip
713.41,516.091,170.707,686.798,zip
486.536,335.701,131.882,467.583,zip
583.008,422.868,146.225,569.093,zip
585.109,396.985,156.388,553.373,zip
430.062,346.451,71.679,418.13,zip
513.818,372.923,119.018,491.941,zip
610.742,466.473,132.703,599.176,zip
528.437,384.907,132.312,517.219,zip
623.758,505.69,108.362,614.052,zip
402.325,311.071,76.757,387.828,zip
521.706,428.162,84.031,512.193,zip
578.829,406.322,145.96,552.282,zip
570.203,413.284,133.709,546.993,zip
418.473,305.141,100.375,405.516,zip
327.698,227.885,87.955,315.84,zip
288.583,211.263,67.763,279.026,zip
668.956,478.152,170.189,648.341,zip
476.083,331.377,127.759,459.136,zip
389.038,280.732,92.24,372.972,zip
460.027,338.79,107.615,446.405,zip
468.873,347.109,96.867,443.976,zip
481.401,342.911,119.62,462.531,zip
552.238,415.941,109.033,524.974,zip
492.27,370.858,103.68,474.538,zip
576.768,394.279,159.304,553.583,zip
680.963,515.581,129.879,645.46,zip
651.851,508.233,128.058,636.291,zip
465.303,352.026,96.007,448.033,zip
485.108,361.128,99.211,460.339,zip
432.512,316.621,104.204,420.825,zip
580.686,424.39,144.132,568.522,zip
580.339,440.329,128.095,568.424,zip
442.908,344.638,80.148,424.786,zip
514.286,382.923,112.861,495.784,zip
511.524,353.027,140.408,493.435,zip
485.728,362.114,111.419,473.533,zip
526.544,385.559,128.519,514.078,zip
513.292,370.31,127.418,497.728,zip
